1313;Pat;123;EUR;2;2
4444;eric;10010856;EUR;17.1;5
5555;pepe;10030831;EUR;3.46;5
3002412792;frfr;10040835;EUR;3.46;5
3002415474;WithAlias;11030816;EUR;3.46;5
3002417563;Noalias;12020853;EUR;2.25;5
3002417719;admin;12030835;EUR;2.25;5
3002422397;Noalias;16010825;EUR;2.25;5
3002422426;Noalias;16010820;EUR;2.25;5
3002422475;Noalias;16020833;EUR;2.25;5
3002422476;Noalias;16020826;EUR;3.46;5
3002422780;Noalias;16030832;EUR;2.25;5
3002422786;Noalias;16030800;EUR;2.25;5
3002422828;Noalias;16040836;EUR;2.25;5
3002422850;Noalias;16040808;EUR;2.25;5
3002422851;Noalias;16040845;EUR;3.46;5
3002422866;Noalias;16040801;EUR;2.25;5
3002422873;Noalias;16040847;EUR;3.46;9
3002436512;Noalias;23030827;EUR;2.25;5
